pb_count_locations, PB.AADT , PB.Link.AADT , regional.count , regional.volume , ODME.Count , After.ODME , Before.ODME , ODME.Count.AM , After.ODME.AM ,A,B
1,"22,900","11,450", -   ,"12,244", -   ,"13,729","12,288", -   ,"3,768",654,1779
2,"34,700","17,350", -   ,"12,339", -   ,"13,184","12,105", -   ,"2,807",983,984
3,"38,300","19,150", -   ,"15,846", -   ,"18,481","15,058", -   ,"3,508",986,1852
4,"51,600","25,800","26,350","18,709","26,000","25,263","18,550","4,807","4,486",991,1592
5,"52,400","26,200","28,000","29,103","25,250","27,843","30,089","4,514","4,539",579,996
6,"43,700","21,850","22,400","25,837","22,250","23,236","26,486","3,628","3,203",998,999
7,"42,800","21,400", -   ,"21,402", -   ,"19,483","21,783", -   ,"2,904",659,1001
8,"37,500","18,750", -   ,"17,641", -   ,"17,485","18,070", -   ,"3,104",1007,1008
9,"36,800","18,400", -   ,"19,055", -   ,"19,690","19,273", -   ,"2,425",1022,1023
10,"36,500","18,250", -   ,"19,538", -   ,"17,770","19,781", -   ,"2,143",1042,1849
11,"22,000","11,000", -   ,"26,919", -   ,"17,352","27,498", -   ,"2,389",1049,1048
12,"20,000","10,000", -   ,"23,124", -   ,"12,269","23,887", -   ,"1,497",1940,1054
13,"15,500","7,750", -   ,"1,366", -   , -   ,"1,308", -   , -   ,1059,1060
14,"14,600","7,300", -   ,388, -   , -   ,352, -   , -   ,1068,1069
15,"7,900","3,950", -   ,"1,336", -   ,894,"1,405", -   ,514,1122,1128
16,"23,500","11,750", -   ,"26,765", -   ,"19,343","27,423", -   ,"2,986",1272,1276
17,"20,000","10,000", -   ,"26,247", -   ,"19,680","26,348", -   ,"3,004",1279,1283
18,"13,700","6,850", -   ,"19,296", -   ,"17,897","19,678", -   ,"3,314",1286,1290
19,"14,400","7,200", -   ,"12,496", -   ,"10,993","12,479", -   ,"1,628",1293,1297
20,"8,600","4,300", -   ,"10,650", -   ,"8,880","10,558", -   ,"1,681",1327,1336
21,"36,200","18,100","20,250","19,307","18,250","13,796","18,909","2,236",460,983,1222
22,"49,700","24,850", -   ,"20,881", -   ,"15,531","20,501", -   ,766,1222,1223
23,"34,700","17,350", -   ,"23,055", -   ,"15,887","23,124", -   ,"4,287",983,1601
24,"36,500","18,250", -   ,"20,170", -   ,"12,692","19,760", -   ,512,982,1601
25,"56,200","28,100","27,000","25,736","27,500","28,527","26,128","2,126","2,122",1212,1214
26,"50,000","25,000","31,400","25,753","28,000","27,761","25,961","6,013","5,952",1216,1217
26,"50,000","25,000", -   ,"21,260", -   ,"24,077","21,492", -   ,"5,732",1215,1216
27,"57,600","28,800", -   ,"25,479", -   ,"31,975","25,748", -   ,"3,672",1220,1937
28,"49,700","24,850", -   ,"22,926", -   ,"29,946","23,270", -   ,"5,481",1221,1223
28,"49,700","24,850","31,500","22,926","30,500","29,946","23,270","5,607","5,481",1220,1221
29,"37,900","18,950","16,294","15,427","15,000","20,960","16,292", -   ,"2,384",898,1707
29,"37,900","18,950","16,294","17,514","15,000","16,113","16,779", -   ,"3,845",1707,898
29,"37,900","18,950", -   ,"22,948", -   ,"20,674","21,149", -   ,"4,761",1584,1707
29,"37,900","18,950", -   ,"20,633", -   ,"23,946","20,514", -   ,"2,390",1707,1584
30,"36,600","18,300", -   ,"19,546", -   ,"21,809","19,291", -   ,"2,282",1557,1562
30,"36,600","18,300", -   ,"22,947", -   ,"23,043","21,948", -   ,"4,695",1562,1557
30,"36,600","18,300","15,984","22,947","11,950","23,043","21,948", -   ,"4,695",1561,1562
30,"36,600","18,300","15,984","19,546","11,950","21,809","19,291", -   ,"2,282",1562,1561
31,"38,000","19,000", -   ,"12,107", -   ,"10,826","12,123", -   ,"1,145",990,991
31,"38,000","19,000","19,650","18,320","17,000","17,176","18,509","2,056","2,068",991,1229
