Count Location,From,To,PB_AADT
1,NW/SW 117th Avenue,SW 116th Ct,22900
2,NW/SW 107th Avenue,SW 105th Pl,34700
3,NW/SW 97th Avenue,SW 96th Ct,38300
4,NW/SW 87th Avenue,SW 84th Avenue/NW 84th Avenue,51600
5,NW/SW 79th Avenue,SW 78th Pl,52400
6,NW/SW 72nd Avenue,Tamiami Canal Rd,43700
7,NW/SW 67th Avenue,NW/SW 67th Ct,42800
8,NW/SW 57th Avenue,NW 56th Ct,37500
9,NW/SW 42nd Avenue,NW/SW 41st Street,36800
10,NW/SW 27th Avenue,NW 26th Avenue,36500
11,NW/SW 22nd Avenue,SW 21st Ct,22000
12,NW/SW 17th Avenue,NW/SW 16th Avenue,20000
13,NW/SW 12th Avenue,NW/SW 11th Avenue,15500
14,NW/SW 7th Avenue,NW/SW 6th Avenue,14600
15,NW/SW 2nd Avenue,NW/SW 1st Avenue,7900
16,SW 22nd Avenue,SW 21st Ct,23500
17,SW 17th Avenue,SW 16th Avenue,20000
18,SW 12th Avenue,SW 11th Avenue,13700
19,SW 7th Avenue,SW 6th Avenue,14400
20,SW 2nd Avenue,SW 1st Ct,8600
21,Flagler Street,SW 2nd Street,36200
22,SW 8th Street,SW 7th Terrace,49700
23,Flagler Street,NW 3rd Street,34700
24,NW 3rd Street,Fontainebleau Blvd,36500
25,SW 137th Avenue,SW 139th Avenue,56200
26,SW 127th Avenue,SW 128th Ct,50000
27,SW 117th Avenue,NB Turnpike Ramps,57600
28,SW 107th Avenue,SW 109th Avenue/E Campus Cir,49700
29,NB Turnpike Ramps,NW 114th Avenue,37900
30,SB Turnpike Ramps,NB Turnpike Ramps,36600
31,Flagler Street,Park Blvd,38000
